CRATER_ID,LAT,LON,DIAM,AGE_MEAN,AGE_STD,CI_LOWER,CI_UPPER
05-1-063797,-29.4905,350.595,6.08582,3.8934,0.0528,3.79,3.9968
08-2-000887,17.1739,150.761,13.0944,3.897,0.071,3.7578,4.0363
10-1-118234,-61.9729,250.551,6.37784,3.8841,0.0621,3.7624,4.0059
10-1-001179,-64.0437,206.985,18.3228,3.9099,0.0417,3.8282,3.9916
03-1-051353,-17.1638,188.129,6.99036,3.8848,0.0471,3.7925,3.9772
07-1-073425,-19.0768,26.8146,8.04653,3.8868,0.0474,3.7938,3.9798
02-2-000255,4.98364,180.487,21.7983,3.8608,0.0476,3.7674,3.9542
08-1-108132,27.1728,104.854,7.41671,3.8954,0.0613,3.7751,4.0156
01-1-028151,69.1795,140.697,6.16995,3.8355,0.0706,3.6971,3.9739
05-1-000517,-31.3731,351.23,9.64416,3.9032,0.0827,3.7412,4.0652
05-1-000032,-4.74294,308.95,44.0627,3.9464,0.061,3.8268,4.0661
02-1-155382,48.0785,189.417,7.91142,3.8197,0.0957,3.6321,4.0073
09-1-114119,-30.4598,171.64,17.856,3.8204,0.0603,3.7022,3.9386
05-2-002029,-4.90643,286.013,11.066,3.9343,0.057,3.8226,4.0459
02-1-059831,16.7858,204.359,5.46686,3.9208,0.063,3.7973,4.0443
08-1-006023,0.968801,176.68,6.44387,3.9308,0.0686,3.7963,4.0653
08-1-070792,18.4622,159.405,10.2147,3.9371,0.0625,3.8146,4.0596
09-1-108076,-28.7051,132.894,7.23086,3.8561,0.0529,3.7524,3.9598
09-1-083074,-22.0798,115.03,8.13905,3.8177,0.0606,3.6989,3.9364
09-1-156028,-43.489,167.888,7.53568,3.8412,0.0565,3.7305,3.9518
02-1-087808,23.5213,224.354,5.83933,3.8875,0.1018,3.6881,4.087
08-1-109505,27.3042,128.759,20.8691,3.9211,0.0629,3.7979,4.0444
02-1-071912,19.8213,242.11,7.28316,3.8814,0.0536,3.7763,3.9865
02-1-001712,4.15835,247.67,21.3785,3.8985,0.0765,3.7486,4.0483
03-1-060468,-20.4731,204.569,9.36048,3.6638,0.0601,3.546,3.7815
10-1-170310,-60.0435,266.312,6.0716,3.7933,0.0683,3.6595,3.927
02-1-179083,58.6105,186.42,7.40264,3.8943,0.0574,3.7818,4.0067
09-1-011592,-2.09701,108.714,6.27632,3.9219,0.0444,3.8349,4.0089
02-1-080904,22.1878,214.681,5.42065,3.9525,0.0542,3.8463,4.0587
08-1-101349,24.5451,159.924,9.39611,3.8893,0.0486,3.794,3.9847
07-1-000260,-13.1807,88.0805,14.6782,3.7945,0.0528,3.691,3.8979
08-1-072905,18.8625,163.965,7.97023,3.8831,0.0709,3.7442,4.0221
02-1-045698,12.9128,267.694,6.17235,3.9203,0.0683,3.7864,4.0542
06-1-000824,20.755,70.3162,7.21734,3.6126,0.0676,3.48,3.7451
03-1-000641,-28.0913,227.661,38.7016,3.9498,0.0545,3.8429,4.0566
06-1-000139,53.2599,44.7287,8.45077,3.9425,0.0579,3.829,4.056
02-1-040521,11.0884,197.839,8.86647,3.9312,0.0558,3.8217,4.0406
07-1-000946,-27.0287,15.2058,20.5001,3.9437,0.054,3.8379,4.0496
07-1-001173,-35.5672,23.1622,8.18814,3.8999,0.0545,3.7931,4.0068
08-1-001224,34.9953,169.732,9.0623,3.5227,0.0781,3.3696,3.6757
02-1-157733,49.4176,238.598,7.23306,3.5072,0.0472,3.4148,3.5997
02-2-000292,5.88191,243.349,26.5151,3.938,0.0401,3.8594,4.0166
07-1-001405,-33.1713,65.9026,26.8304,3.9477,0.037,3.8751,4.0202
05-1-103320,-47.6036,276.85,7.63221,3.5671,0.0782,3.4138,3.7205
01-1-062672,77.035,237.903,5.06066,3.7272,0.0534,3.6226,3.8317
07-1-223162,-58.273,55.1649,9.31283,3.9337,0.0479,3.8398,4.0275
07-1-000137,-2.18018,64.0959,19.2318,3.9005,0.0488,3.8049,3.9961
10-1-000632,-75.8632,67.2126,73.4458,4.0008,0.0596,3.8841,4.1176
09-1-000209,-6.58352,171.723,18.4495,3.6057,0.0845,3.4401,3.7714
03-1-030880,-10.5773,226.688,10.4971,3.9393,0.0601,3.8215,4.0572
10-1-000698,-67.0406,287.202,14.2913,3.8729,0.0678,3.7401,4.0057
09-1-075343,-19.5418,122.532,6.06005,3.837,0.0605,3.7184,3.9555
05-1-001651,-56.1932,270.562,7.73096,3.8371,0.0653,3.7091,3.9652
01-1-001238,72.955,342.408,7.85774,3.851,0.0693,3.7151,3.9869
