CRATER_ID,LAT,LON,DIAM,AGE_MEAN,AGE_STD,CI_LOWER,CI_UPPER
08-2-000887,17.1739,150.761,13.0944,3.897,0.071,3.7578,4.0363
10-1-001179,-64.0437,206.985,18.3228,3.9099,0.0417,3.8282,3.9916
07-1-073425,-19.0768,26.8146,8.04653,3.8868,0.0474,3.7938,3.9798
02-2-000255,4.98364,180.487,21.7983,3.8608,0.0476,3.7674,3.9542
05-1-000517,-31.3731,351.23,9.64416,3.9032,0.0827,3.7412,4.0652
05-1-000032,-4.74294,308.95,44.0627,3.9464,0.061,3.8268,4.0661
09-1-114119,-30.4598,171.64,17.856,3.8204,0.0603,3.7022,3.9386
05-2-002029,-4.90643,286.013,11.066,3.9343,0.057,3.8226,4.0459
08-1-070792,18.4622,159.405,10.2147,3.9371,0.0625,3.8146,4.0596
09-1-083074,-22.0798,115.03,8.13905,3.8177,0.0606,3.6989,3.9364
08-1-109505,27.3042,128.759,20.8691,3.9211,0.0629,3.7979,4.0444
02-1-001712,4.15835,247.67,21.3785,3.8985,0.0765,3.7486,4.0483
03-1-060468,-20.4731,204.569,9.36048,3.6638,0.0601,3.546,3.7815
08-1-101349,24.5451,159.924,9.39611,3.8893,0.0486,3.794,3.9847
07-1-000260,-13.1807,88.0805,14.6782,3.7945,0.0528,3.691,3.8979
03-1-000641,-28.0913,227.661,38.7016,3.9498,0.0545,3.8429,4.0566
06-1-000139,53.2599,44.7287,8.45077,3.9425,0.0579,3.829,4.056
02-1-040521,11.0884,197.839,8.86647,3.9312,0.0558,3.8217,4.0406
07-1-000946,-27.0287,15.2058,20.5001,3.9437,0.054,3.8379,4.0496
07-1-001173,-35.5672,23.1622,8.18814,3.8999,0.0545,3.7931,4.0068
08-1-001224,34.9953,169.732,9.0623,3.5227,0.0781,3.3696,3.6757
02-2-000292,5.88191,243.349,26.5151,3.938,0.0401,3.8594,4.0166
07-1-001405,-33.1713,65.9026,26.8304,3.9477,0.037,3.8751,4.0202
07-1-223162,-58.273,55.1649,9.31283,3.9337,0.0479,3.8398,4.0275
07-1-000137,-2.18018,64.0959,19.2318,3.9005,0.0488,3.8049,3.9961
10-1-000632,-75.8632,67.2126,73.4458,4.0008,0.0596,3.8841,4.1176
09-1-000209,-6.58352,171.723,18.4495,3.6057,0.0845,3.4401,3.7714
03-1-030880,-10.5773,226.688,10.4971,3.9393,0.0601,3.8215,4.0572
10-1-000698,-67.0406,287.202,14.2913,3.8729,0.0678,3.7401,4.0057
08-1-001105,30.8217,126.896,12.8008,3.9031,0.0572,3.791,4.0152
05-1-001097,-46.4821,342.074,33.557,3.8706,0.0713,3.7309,4.0103
02-1-065606,17.1054,196.44,8.65514,3.7587,0.0578,3.6454,3.872
08-1-001330,22.4732,153.588,14.1492,3.8895,0.0563,3.7791,3.9999
10-1-000690,-60.5284,285.193,13.2355,3.7043,0.0663,3.5743,3.8344
02-1-029287,8.34059,269.72,15.8637,3.8927,0.0709,3.7538,4.0316
07-1-000039,-5.28562,15.2775,14.7477,3.8956,0.063,3.7722,4.019
02-1-179303,59.4227,182.911,10.039,3.8298,0.0762,3.6805,3.9792
10-1-045459,-67.3968,55.2442,9.63436,3.8763,0.0499,3.7785,3.9741
09-2-000007,-59.5344,112.51,76.7276,3.9594,0.0734,3.8155,4.1034
02-1-000353,44.4445,188.729,17.7064,3.371,0.06,3.2533,3.4886
03-1-065294,-21.3006,203.388,10.0049,3.8746,0.0662,3.7449,4.0043
08-1-001136,32.9569,127.238,12.4028,3.8246,0.0631,3.701,3.9483
09-1-173254,-49.8698,162.84,10.5298,3.8903,0.0582,3.7763,4.0042
03-1-000877,-39.0835,211.753,48.5434,3.8646,0.0633,3.7406,3.9887
03-1-021065,-7.778,191.239,10.1137,3.8569,0.0493,3.7603,3.9535
10-1-037702,-65.7467,50.5695,8.20708,3.8846,0.0514,3.7838,3.9853
08-1-151342,37.8998,170.755,9.60293,3.7241,0.0786,3.5701,3.8782
09-1-034411,-8.45754,170.013,10.1574,3.8641,0.0847,3.6981,4.0302
03-1-000310,-15.9563,223.459,13.2113,3.8886,0.0693,3.7527,4.0245
04-1-000704,2.22827,292.62,110.731,3.9452,0.0605,3.8267,4.0637
07-1-002208,-46.1706,87.3135,35.1055,3.8989,0.0506,3.7996,3.9982
